Origen,Destino,ConexionAeropuertos
Papua New Guinea,Australia,19
Papua New Guinea,Philippines,5
Papua New Guinea,Indonesia,2
Papua New Guinea,Solomon Islands,2
Papua New Guinea,Hong Kong,2
Papua New Guinea,Fiji,2
Papua New Guinea,Japan,2
Papua New Guinea,Singapore,2
Papua New Guinea,China,1
Papua New Guinea,Micronesia,1
Greenland,Denmark,2
Greenland,Iceland,5
Iceland,Finland,4
Iceland,Norway,11
Iceland,Netherlands,6
Iceland,Sweden,2
Iceland,Denmark,10
Iceland,United States,20
Iceland,Belgium,2
Iceland,France,8
Iceland,Germany,15
Iceland,United Kingdom,25
Iceland,Canada,5
Iceland,Switzerland,2
Iceland,Spain,9
Iceland,Ireland,1
Iceland,Faroe Islands,1
Iceland,Hungary,1
Iceland,Poland,5
Iceland,Latvia,1
Iceland,Austria,3
Iceland,Lithuania,1
Iceland,Czech Republic,2
Canada,China,40
Canada,Belgium,15
Canada,Jordan,6
Canada,United States,919
Canada,United Kingdom,87
Canada,Japan,24
Canada,Antigua and Barbuda,7
Canada,Aruba,4
Canada,United Arab Emirates,8
Canada,Dominican Republic,46
Canada,Spain,14
Canada,Bermuda,4
Canada,Barbados,6
Canada,Colombia,10
Canada,Cuba,78
Canada,France,52
Canada,Denmark,6
Canada,Mexico,167
Canada,Ireland,9
Canada,Italy,22
Canada,Martinique,2
Canada,Germany,45
Canada,Cayman Islands,4
Canada,Bahamas,10
Canada,Grenada,4
Canada,Brazil,6
Canada,Switzerland,20
Canada,Hong Kong,8
Canada,South Korea,10
Canada,Turkey,7
Canada,Jamaica,30
Canada,Peru,4
Canada,Costa Rica,14
Canada,Haiti,4
Canada,Turks and Caicos Islands,6
Canada,Guadeloupe,2
Canada,Chile,2
Canada,Australia,8
Canada,Israel,6
Canada,Saint Lucia,6
Canada,Austria,8
Canada,Poland,4
Canada,New Zealand,4
Canada,Algeria,4
Canada,Morocco,4
Canada,El Salvador,2
Canada,Taiwan,8
Canada,Guyana,4
Canada,Trinidad and Tobago,6
Canada,Panama,6
Canada,Netherlands,24
Canada,Ethiopia,2
Canada,Tunisia,2
Canada,Egypt,2
Canada,Saint Pierre and Miquelon,6
Canada,Pakistan,6
Canada,Philippines,3
Canada,Qatar,2
Canada,Portugal,28
Canada,Russia,4
Canada,Saudi Arabia,2
Canada,Greece,8
Canada,Puerto Rico,6
Canada,Netherlands Antilles,14
Canada,India,10
Canada,Ukraine,1
Canada,Belize,4
Canada,Argentina,2
Canada,Saint Kitts and Nevis,2
Canada,Hungary,2
Canada,Croatia,4
Algeria,Germany,6
Algeria,France,172
Algeria,Turkey,16
Algeria,Cote d'Ivoire,2
Algeria,Spain,32
Algeria,Jordan,4
Algeria,Lebanon,2
Algeria,Mali,2
Algeria,Belgium,7
Algeria,Egypt,4
Algeria,Morocco,6
Algeria,Senegal,3
Algeria,United Arab Emirates,4
Algeria,Italy,9
Algeria,Switzerland,3
Algeria,United Kingdom,6
Algeria,Portugal,4
Algeria,Niger,2
Algeria,Burkina Faso,2
Algeria,China,2
Algeria,Russia,2
Algeria,Libya,4
Algeria,Tunisia,8
Algeria,Austria,3
Algeria,Malta,2
Algeria,Qatar,2
Algeria,Saudi Arabia,12
Algeria,Mauritania,1
Benin,Togo,7
Benin,Burkina Faso,3
Benin,Belgium,4
Benin,Cote d'Ivoire,18
Benin,France,2
Benin,Morocco,2
Benin,Nigeria,7
Benin,Equatorial Guinea,5
Benin,Mali,6
Benin,Gabon,9
Benin,Senegal,5
Benin,Cameroon,11
Benin,Ethiopia,2
Benin,Niger,5
Benin,Ghana,2
Benin,Kenya,1
Benin,Congo (Brazzaville),14
Benin,Turkey,1
Benin,Tunisia,1
Burkina Faso,Cote d'Ivoire,16
Burkina Faso,Ghana,4
Burkina Faso,Mali,7
Burkina Faso,Senegal,3
Burkina Faso,Togo,5
Burkina Faso,Niger,16
Burkina Faso,Belgium,9
Burkina Faso,France,2
Burkina Faso,Morocco,2
Burkina Faso,Ethiopia,2
Burkina Faso,Turkey,2
Burkina Faso,Tunisia,2
Burkina Faso,Guinea,2
Burkina Faso,Sierra Leone,2
Burkina Faso,Nigeria,1
Ghana,Senegal,6
Ghana,Nigeria,20
Ghana,Liberia,15
Ghana,United Kingdom,4
Ghana,Morocco,2
Ghana,Togo,7
Ghana,Italy,1
Ghana,United States,5
Ghana,Cote d'Ivoire,18
Ghana,Sierra Leone,8
Ghana,United Arab Emirates,2
Ghana,Ethiopia,2
Ghana,Spain,2
Ghana,Netherlands,3
Ghana,Kenya,2
Ghana,Germany,2
Ghana,Lebanon,3
Ghana,Egypt,2
Ghana,South Africa,2
Ghana,Namibia,2
Ghana,Turkey,3
Ghana,Portugal,2
Ghana,France,2
Ghana,Gambia,1
Ghana,Belgium,3
Ghana,Sao Tome and Principe,2
Ghana,Equatorial Guinea,1
Cote d'Ivoire,Mali,8
Cote d'Ivoire,Belgium,7
Cote d'Ivoire,France,6
Cote d'Ivoire,Morocco,2
Cote d'Ivoire,Senegal,14
Cote d'Ivoire,Sierra Leone,4
Cote d'Ivoire,Liberia,4
Cote d'Ivoire,Guinea,4
Cote d'Ivoire,Togo,9
Cote d'Ivoire,Nigeria,13
Cote d'Ivoire,Cameroon,5
Cote d'Ivoire,Gabon,2
Cote d'Ivoire,Kenya,2
Cote d'Ivoire,Turkey,2
Cote d'Ivoire,Tunisia,2
Cote d'Ivoire,Equatorial Guinea,1
Cote d'Ivoire,United States,1
Cote d'Ivoire,Ethiopia,2
Cote d'Ivoire,Congo (Kinshasa),1
Cote d'Ivoire,Niger,2
Cote d'Ivoire,Congo (Brazzaville),2
Cote d'Ivoire,Lebanon,1
Cote d'Ivoire,Portugal,2
Nigeria,Senegal,5
Nigeria,Cameroon,10
Nigeria,Liberia,2
Nigeria,France,9
Nigeria,Morocco,2
Nigeria,Italy,1
Nigeria,United Kingdom,8
Nigeria,Mali,2
Nigeria,Gabon,4
Nigeria,Equatorial Guinea,6
Nigeria,United States,8
Nigeria,United Arab Emirates,5
Nigeria,Ethiopia,10
Nigeria,Togo,7
Nigeria,Chad,9
